"Último: Tiempo (s)";"Último: Potencial (V)"
0;-0,00325595887668
0,0009;0,00162804600733
0,0018;-0,00325595887668
0,0027;-0,00325595887668
0,0036;-0,00325595887668
0,0045;-0,00325595887668
0,0054;-0,00325595887668
0,0063;-0,00325595887668
0,0072;-0,00325595887668
0,0081;0,00651205089133
0,009;-0,00325595887668
0,0099;-0,00325595887668
0,0108;0,00162804600733
0,0117;0,00162804600733
0,0126;-0,00325595887668
0,0135;-0,00325595887668
0,0144;0,00162804600733
0,0153;0,00162804600733
0,0162;-0,00325595887668
0,0171;-0,00325595887668
0,018;-0,00325595887668
0,0189;-0,00325595887668
0,0198;0,00162804600733
0,0207;0,00162804600733
0,0216;-0,00325595887668
0,0225;-0,00325595887668
0,0234;-0,00325595887668
0,0243;-0,00325595887668
0,0252;-0,00325595887668
0,0261;0,00162804600733
0,027;0,00651205089133
0,0279;-0,00325595887668
0,0288;0,00162804600733
0,0297;-0,00325595887668
0,0306;-0,00813996376068
0,0315;-0,00325595887668
0,0324;0,00162804600733
0,0333;0,00162804600733
0,0342;0,00162804600733
0,0351;0,00162804600733
0,036;-0,00813996376068
0,0369;-0,00325595887668
0,0378;0,00162804600733
0,0387;0,00162804600733
0,0396;0,00162804600733
0,0405;0,00651205089133
0,0414;0,00162804600733
0,0423;-0,00813996376068
0,0432;0,00162804600733
0,0441;-0,00813996376068
0,045;0,00162804600733
0,0459;0,00162804600733
0,0468;0,00162804600733
0,0477;-0,00325595887668
0,0486;0,00162804600733
0,0495;-0,00813996376068
0,0504;-0,00325595887668
0,0513;0,00162804600733
0,0522;0,00162804600733
0,0531;-0,00325595887668
0,054;-0,00325595887668
0,0549;-0,00325595887668
0,0558;-0,00325595887668
0,0567;-0,00325595887668
0,0576;0,00162804600733
0,0585;0,00162804600733
0,0594;0,00162804600733
0,0603;-0,00325595887668
0,0612;0,00162804600733
0,0621;-0,00325595887668
0,063;0,00162804600733
0,0639;0,00162804600733
0,0648;-0,00325595887668
0,0657;-0,00325595887668
0,0666;-0,00813996376068
0,0675;0,00162804600733
0,0684;-0,00325595887668
0,0693;0,00162804600733
0,0702;-0,00325595887668
0,0711;0,00162804600733
0,072;-0,00325595887668
0,0729;0,00162804600733
0,0738;-0,00813996376068
0,0747;0,00162804600733
0,0756;-0,00325595887668
0,0765;-0,00325595887668
0,0774;-0,00325595887668
0,0783;-0,00325595887668
0,0792;-0,00325595887668
0,0801;-0,00325595887668
0,081;-0,00325595887668
0,0819;0,00162804600733
0,0828;-0,00325595887668
0,0837;-0,00325595887668
0,0846;-0,00813996376068
0,0855;-0,00325595887668
0,0864;0,00162804600733
0,0873;-0,00325595887668
0,0882;0,00162804600733
0,0891;0,00162804600733
0,09;0,00162804600733
0,0909;0,00162804600733
0,0918;-0,00813996376068
0,0927;-0,00325595887668
0,0936;-0,00325595887668
0,0945;0,00162804600733
0,0954;0,00162804600733
0,0963;0,00162804600733
0,0972;0,00162804600733
0,0981;-0,00325595887668
0,099;0,00651205089133
0,0999;0,00162804600733
0,1008;0,00162804600733
0,1017;0,00162804600733
0,1026;0,00651205089133
0,1035;-0,00325595887668
0,1044;-0,00325595887668
0,1053;0,00162804600733
0,1062;-0,00325595887668
0,1071;0,00162804600733
0,108;-0,00325595887668
0,1089;-0,00325595887668
0,1098;-0,00325595887668
0,1107;0,00162804600733
0,1116;-0,00325595887668
0,1125;0,00162804600733
0,1134;0,00162804600733
0,1143;-0,00325595887668
0,1152;-0,00325595887668
0,1161;-0,00325595887668
0,117;-0,00325595887668
0,1179;0,00162804600733
0,1188;0,00162804600733
0,1197;-0,00325595887668
0,1206;0,00162804600733
0,1215;-0,00325595887668
0,1224;-0,00325595887668
0,1233;-0,00325595887668
0,1242;0,00162804600733
0,1251;-0,00325595887668
0,126;0,00162804600733
0,1269;-0,00813996376068
0,1278;-0,00813996376068
0,1287;-0,00325595887668
0,1296;-0,00325595887668
0,1305;0,00162804600733
0,1314;0,00162804600733
0,1323;0,00162804600733
0,1332;0,00162804600733
0,1341;0,00162804600733
0,135;-0,00325595887668
0,1359;0,00162804600733
0,1368;0,00162804600733
0,1377;0,00162804600733
0,1386;-0,00325595887668
0,1395;0,00162804600733
0,1404;-0,00813996376068
0,1413;-0,00325595887668
0,1422;-0,00325595887668
0,1431;0,00162804600733
0,144;-0,00325595887668
0,1449;-0,00325595887668
0,1458;0,00162804600733
0,1467;-0,00813996376068
0,1476;-0,00325595887668
0,1485;0,00162804600733
0,1494;0,00162804600733
0,1503;-0,00325595887668
0,1512;-0,00325595887668
0,1521;-0,00325595887668
0,153;0,00162804600733
0,1539;-0,00325595887668
0,1548;0,00162804600733
0,1557;0,00162804600733
0,1566;-0,00325595887668
0,1575;-0,00325595887668
0,1584;-0,00325595887668
0,1593;-0,00325595887668
0,1602;0,00162804600733
0,1611;0,00162804600733
0,162;0,00162804600733
0,1629;-0,00325595887668
0,1638;-0,00325595887668
0,1647;-0,00325595887668
0,1656;-0,00325595887668
0,1665;0,00162804600733
0,1674;-0,00325595887668
0,1683;-0,00325595887668
0,1692;-0,00325595887668
0,1701;-0,00325595887668
0,171;-0,00325595887668
0,1719;-0,00325595887668
0,1728;-0,00325595887668
0,1737;-0,00325595887668
0,1746;0,00162804600733
0,1755;0,00162804600733
0,1764;0,00162804600733
0,1773;-0,00325595887668
0,1782;-0,00325595887668
0,1791;-0,00813996376068
0,18;-0,00325595887668
0,1809;0,00162804600733
0,1818;-0,00325595887668
0,1827;-0,00813996376068
0,1836;-0,00813996376068
0,1845;-0,00325595887668
0,1854;-0,00325595887668
0,1863;0,00162804600733
0,1872;0,00651205089133
0,1881;-0,00813996376068
0,189;0,00162804600733
0,1899;-0,00325595887668
0,1908;-0,00325595887668
0,1917;-0,00325595887668
0,1926;0,00162804600733
0,1935;-0,00325595887668
0,1944;0,00162804600733
0,1953;-0,00325595887668
0,1962;-0,00325595887668
0,1971;-0,00325595887668
0,198;0,00162804600733
0,1989;0,00162804600733
0,1998;0,00162804600733
0,2007;-0,00325595887668
0,2016;-0,00325595887668
0,2025;-0,00325595887668
0,2034;-0,00325595887668
0,2043;0,00162804600733
0,2052;-0,00325595887668
0,2061;-0,00325595887668
0,207;-0,00325595887668
0,2079;-0,00325595887668
0,2088;-0,00325595887668
0,2097;0,00162804600733
0,2106;-0,00325595887668
0,2115;0,00162804600733
0,2124;-0,00325595887668
0,2133;-0,00325595887668
0,2142;-0,00813996376068
0,2151;-0,00325595887668
0,216;-0,00325595887668
0,2169;0,00162804600733
0,2178;-0,00325595887668
0,2187;0,00162804600733
0,2196;-0,00813996376068
0,2205;-0,00325595887668
0,2214;0,00162804600733
