"Último: Tiempo (s)";"Último: Campo magnético (mT)"
0;0,00311260984496
0,05;0,00350333022694
0,1;0,00330797003595
0,15;0,00408941079993
0,2;0,0048708515639
0,25;0,00389405060893
0,3;0,00604301270986
0,35;0,00448013118191
0,4;0,00311260984496
0,45;0,0048708515639
0,5;0,00467549137291
0,55;0,00506621175489
0,6;0,00467549137291
0,65;0,00428477099092
0,7;0,00565229232787
0,75;0,00408941079993
0,8;0,00643373309185
0,85;0,00467549137291
0,9;0,00448013118191
0,95;0,00526157194589
1;0,00623837290085
1,05;0,00389405060893
1,1;0,00604301270986
1,15;0,0048708515639
1,2;0,00721517385582
1,25;0,00408941079993
1,3;0,00467549137291
1,35;0,00545693213688
1,4;0,0048708515639
1,45;0,00623837290085
1,5;0,00584765251887
1,55;0,0048708515639
1,6;0,00526157194589
1,65;0,00545693213688
1,7;0,00350333022694
1,75;0,00526157194589
1,8;0,00369869041794
1,85;0,00448013118191
1,9;0,00408941079993
1,95;0,00584765251887
2;0,00369869041794
2,05;0,0048708515639
2,1;0,00623837290085
2,15;0,00584765251887
2,2;0,00604301270986
2,25;0,00506621175489
2,3;0,00565229232787
2,35;0,00565229232787
2,4;0,00682445347384
2,45;0,00545693213688
2,5;0,00682445347384
2,55;0,00604301270986
2,6;0,00623837290085
2,65;0,00584765251887
2,7;0,00291724965396
2,75;0,00604301270986
2,8;0,0048708515639
2,85;0,0048708515639
2,9;0,00389405060893
2,95;0,00584765251887
