"Último: Tiempo (s)";"Último: Campo magnético (mT)"
0;0,0390588849878
0,05;0,0390588849878
0,1;0,0400356859427
0,15;0,0398403257517
0,2;0,0392542451788
0,25;0,0392542451788
0,3;0,0388635247968
0,35;0,0392542451788
0,4;0,0394496053698
0,45;0,0404264063247
0,5;0,0398403257517
0,55;0,0412078470887
0,6;0,0388635247968
0,65;0,0392542451788
0,7;0,0380820840328
0,75;0,0394496053698
0,8;0,0398403257517
0,85;0,0417939276617
0,9;0,0396449655608
0,95;0,0400356859427
1;0,0390588849878
1,05;0,0396449655608
1,1;0,0378867238418
1,15;0,0390588849878
1,2;0,0378867238418
1,25;0,0394496053698
1,3;0,0390588849878
1,35;0,0415985674707
1,4;0,0386681646058
1,45;0,0394496053698
1,5;0,0382774442238
1,55;0,0394496053698
1,6;0,0400356859427
1,65;0,0408171267067
1,7;0,0374960034598
1,75;0,0388635247968
1,8;0,0396449655608
1,85;0,0410124868977
1,9;0,0382774442238
1,95;0,0396449655608
2;0,0388635247968
2,05;0,0376913636508
2,1;0,0386681646058
2,15;0,0396449655608
2,2;0,0398403257517
2,25;0,0402310461337
2,3;0,0396449655608
2,35;0,0414032072797
2,4;0,0400356859427
2,45;0,0415985674707
2,5;0,0384728044148
2,55;0,0398403257517
2,6;0,0404264063247
2,65;0,0414032072797
