"Último: Tiempo (s)";"Último: Campo magnético (mT)"
0;0,0111223776757
0,05;0,0113177378667
0,1;0,0101455767207
0,15;0,0120991786307
0,2;0,0107316572937
0,25;0,0130759795856
0,3;0,0122945388217
0,35;0,0113177378667
0,4;0,0101455767207
0,45;0,0113177378667
0,5;0,0117084582487
0,55;0,0115130980577
0,6;0,0101455767207
0,65;0,0115130980577
0,7;0,0107316572937
0,75;0,0107316572937
0,8;0,0115130980577
0,85;0,0107316572937
0,9;0,0109270174847
0,95;0,0136620601586
1;0,0109270174847
1,05;0,0117084582487
1,1;0,0109270174847
1,15;0,0103409369117
1,2;0,0105362971027
1,25;0,0117084582487
1,3;0,0107316572937
1,35;0,0103409369117
1,4;0,0111223776757
1,45;0,0120991786307
1,5;0,0115130980577
1,55;0,00995021652973
1,6;0,0120991786307
1,65;0,00975485633874
1,7;0,0120991786307
1,75;0,0122945388217
1,8;0,0115130980577
1,85;0,0105362971027
1,9;0,0119038184397
1,95;0,0111223776757
2;0,00936413595675
2,05;0,0105362971027
2,1;0,00995021652973
2,15;0,0111223776757
2,2;0,0113177378667
2,25;0,0113177378667
2,3;0,0124898990126
2,35;0,0115130980577
2,4;0,00995021652973
2,45;0,0124898990126
2,5;0,0117084582487
2,55;0,00955949614775
2,6;0,0111223776757
2,65;0,0105362971027
2,7;0,0111223776757
2,75;0,00995021652973
2,8;0,0117084582487
2,85;0,00975485633874
