"Último: Tiempo (s)";"Último: Campo magnético (mT)"
0;0,00526157194589
0,05;0,00721517385582
0,1;0,00662909328284
0,15;0,00623837290085
0,2;0,0078012544288
0,25;0,0078012544288
0,3;0,00526157194589
0,35;0,00838733500178
0,4;0,00662909328284
0,45;0,00721517385582
0,5;0,00721517385582
0,55;0,0078012544288
0,6;0,00897341557476
0,65;0,00662909328284
0,7;0,0079966146198
0,75;0,00662909328284
0,8;0,00662909328284
0,85;0,00682445347384
0,9;0,00741053404682
0,95;0,0048708515639
1;0,00643373309185
1,05;0,00682445347384
1,1;0,00662909328284
1,15;0,00662909328284
1,2;0,00565229232787
1,25;0,00526157194589
1,3;0,00467549137291
1,35;0,00506621175489
1,4;0,00565229232787
1,45;0,00721517385582
1,5;0,00643373309185
1,55;0,00448013118191
1,6;0,00682445347384
1,65;0,00604301270986
1,7;0,00701981366483
1,75;0,00623837290085
1,8;0,00701981366483
1,85;0,00877805538377
1,9;0,00643373309185
1,95;0,00643373309185
2;0,00662909328284
2,05;0,00936413595675
2,1;0,00721517385582
2,15;0,00584765251887
2,2;0,00604301270986
2,25;0,00877805538377
2,3;0,00721517385582
2,35;0,00467549137291
2,4;0,00565229232787
2,45;0,00662909328284
2,5;0,00760589423781
2,55;0,00819197481079
2,6;0,00701981366483
2,65;0,00643373309185
2,7;0,00545693213688
2,75;0,00858269519278
2,8;0,00701981366483
2,85;0,00741053404682
2,9;0,00662909328284
